Serie,Clase,Docu.,Fecha,Serie Ant.,Docu.Ant.,Tipo Cambio Oper.,Operador,Fecha Reg.,Hora Reg.,Nombre de Nivel 1,Nombre de Nivel 2,Código Contable,Código de Detalle,Nombre de la Cuenta de Detalle,Comentario,Unidades,Débito,Crédito
CD,COMPROBANTE DE DIARIO,980,3/3/2026,CD-A,4883,36.6243,LORENA HERRERA,3/3/2026,1:40:41 p. m.,INVENTARIO,NURSERY,1 1 05 01 3  8058664133673,8058664133673,TALCUM POWDER 150GR BABY MOMENTS PACK1,TALCUM POWDER 150GR BABY MOMEN,0,27.72882096,0
CD,COMPROBANTE DE DIARIO,980,3/3/2026,CD-A,4883,36.6243,LORENA HERRERA,3/3/2026,1:40:41 p. m.,COSTO DE VENTA,COSTO DE VENTA,5 1 01 01   01,1,COSTO DEL PRODUCTO VENDIDO,COSTO DEL PRODUCTO VENDIDO,0,0,27.72882096
CD-A,COMPROBANTE DE DIARIO,4883,3/3/2026,CD-A,4883,36.6243,LORENA HERRERA,3/3/2026,1:40:41 p. m.,INVENTARIO,NURSERY,1 1 05 01 3  8058664133673,8058664133673,TALCUM POWDER 150GR BABY MOMENTS PACK1,RECLASIFICACION DE INVENTARIO,14,1132.393186,0
CD-A,COMPROBANTE DE DIARIO,4883,3/3/2026,CD-A,4883,36.6243,LORENA HERRERA,3/3/2026,1:40:41 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 5 8058664178391,8058664178391,NUEV TALCO POLVO BM 150GR,RECLASIFICACION DE INVENTARIO,12,0,1132.393186
CD-A,COMPROBANTE DE DIARIO,4884,3/3/2026,CD-A,4884,36.6243,LORENA HERRERA,3/3/2026,4:38:22 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 5 8058664173778,8058664173778,NUEV TOALLAS HUMEDAS DELICADAS C/COVER 72PZ+F,RECLASIFICACION DE INVENETARIO,48,0,3320.8451
CD-A,COMPROBANTE DE DIARIO,4884,3/3/2026,CD-A,4884,36.6243,LORENA HERRERA,3/3/2026,4:38:22 p. m.,INVENTARIO,CHICCO,1 1 05 18 01 02 8058664080199,8058664080199,TOALLAS HUME CHICCO 72Z S/COVER LT 1023034060,RECLASIFICACION DE INVENETARIO,48,3320.8451,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 5 8058664178391,8058664178391,NUEV TALCO POLVO BM 150GR,RECLASIFCICACION DE INVENTARIO,6,0,566.1966398
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,NURSERY,1 1 05 01 3  8058664133673,8058664133673,TALCUM POWDER 150GR BABY MOMENTS PACK1,RECLASIFCICACION DE INVENTARIO,6,600,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,NURSERY,1 1 05 01 02  8058664144242,8058664144242,BOPPY PILLOW COTTON SCOVER GRAY,RECLASIFCICACION DE INVENTARIO,1,0,997.4987909
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,NURSERY,1 1 05 01 02  8003670892595,8003670892595,BOPPY BARE NAKED MIRACLE MIDDLE PILLOW,RECLASIFCICACION DE INVENTARIO,1,882.8019,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 3 8003670797456,8003670797456,CEPILLO LAVAPACHAS- BOTTLE BRUSH (3 EN 1),RECLASIFCICACION DE INVENTARIO,5,0,537.579662
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,NURSERY,1 1 05 01 02  8059147060073,8059147060073,BOTTLE BRUSH SET-CEPILO LAVAPACHAS,RECLASIFCICACION DE INVENTARIO,5,446.114375,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664081301,8058664081301,VASO ENTRENADOR TRANS,RECLASIFCICACION DE INVENTARIO,6,1559.99345,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664069989,8058664069989,VASO ENTRENADOR TRANSICION 4M+ NIÑO 7OZ,RECLASIFCICACION DE INVENTARIO,6,0,1028.675273
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664081356,8058664081356,VASO ENTRENADOR SURT ADVAN 12M 266ML,RECLASIFCICACION DE INVENTARIO,3,900,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664121502,8058664121502,VASO ENTRENADOR GLOWING CUP 14M+ PINK,RECLASIFCICACION DE INVENTARIO,3,0,996.1244461
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664081363,8058664081363,VASO ENTRENADOR ADVANCE 12M+ 266ML SURT,RECLASIFCICACION DE INVENTARIO,1,600,0
CD-A,COMPROBANTE DE DIARIO,4896,5/3/2026,CD-A,4896,36.6243,LORENA HERRERA,5/3/2026,2:03:40 p. m.,INVENTARIO,CHICCO,1 1 05 18 05 1 8058664121526,8058664121526,VASO ENTRENADOR GLOWING CUP 14M+ LIGHT BLUE,RECLASIFCICACION DE INVENTARIO,3,0,996.1244461
