Code,Desired,Actual,Diff
14040101101,571428.08,571428.08,0.00
26010401201,-19599.27,-17308.98,2290.29
26040301201,-6154.85,-6154.85,0.00
26040301203,-2266.07,-1992.11,273.96
26050101201,-6826.47,-6732.62,93.85
26050101202,-5109.53,-5109.54,-0.01
26050301101,-29018.77,-29018.77,0.00
26050301201,0.00,5425.09,5425.09
27010201201,-10920.25,8179.14,19099.39
27010201202,-226.32,-33843.92,-33617.60
27010201203,-390934.94,-378495.61,12439.33
27010401101,-35577.13,-35577.13,0.00
27010701201,-49836.28,-42801.77,7034.51
27010701202,-7433.67,-6779.30,654.37
27010901201,0.00,2136.30,2136.30
29290103201,-351.60,351.60,703.20
32010301201,0.00,0.00,0.00
39010101201,-1054380.75,-999433.79,54946.96
41060101201,-6571847.94,-6033564.63,538283.31
41060101202,-36485.63,-34188.47,2297.16
41060101203,-81376.99,-81376.99,0.00
41090101201,-137078.90,137078.90,274157.80
42030101201,-116703.33,116703.33,233406.66
43020501201,0.00,43748.76,43748.76
43430301101,-95841.67,95841.67,191683.34
45010101201,0.00,0.00,0.00
45450101101,-987542.87,987542.87,1975085.74
54030101201,0.00,0.00,0.00
54050701301,0.00,7910.57,7910.57
54059901203,0.00,200.00,200.00
55010101201,0.00,782.42,782.42
55550101101,20039.97,20039.97,0.00
63010101201,0.00,54946.96,54946.96
9999,0.00,43559410.48,43559410.48

Mismatches > 0.01: 24
