Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$, -   , -   , -   
11010101301,CAJA PRINCIPAL U$, 1'881'518.88 , 1'876'797.95 , 35'704.27 
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE), -   , -   , -   
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE), 1'843'093.70 , 2'149'622.59 , 2'845'914.54 
11040101201,Caja Chica, 34'836.91 , 34'836.91 , 7'630.06 
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV, -   , -   , -   
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$, 1'571'593.03 , 1'373'411.55 , 11'221'733.26 
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV, -   , -   , -   
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$, 538'087.43 , 524'174.72 , 21'088.84 
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV, -   , -   , -   
14080101301,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) U$, -   , 762.52 ,-870'219.93 
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , -   
15010901201,Otros Bienes Recibido en Recuperación de Créditos, -   , -   , -   
15010101301,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , 33'495.37 
16020101101,Anticipos proveedores MNL, -   , -   , -   
16020101201,Anticipos proveedores (Aporte CONAMI), -   , 3'502.93 , 3'502.93 
16020101202,Anticipos proveedores (EFRAIN BLANDON), -   , -   , 10'987.29 
16020101203,Anticipos proveedores (Varios), 9'522.32 , -   , 240'292.03 
16020601101,Cuentas por Cobrar al Personal, -   , -   , -   
16020601201,Cuentas por Cobrar al Personal, 33'286.75 , 15'534.04 , 72'482.98 
18030101201,MOBILIARIOS, -   , 1'815.92 , 89'891.42 
18030201201,EQUIPOS , 13'700.00 , 2'601.65 , 55'036.11 
18040101201,Equipos de computación, 23'805.80 , 2'954.52 , 62'508.57 
18050101201,Vehiculos, -   , -   , -   
19010301201,Impuesto Pagados por Anticipado, 5'784.04 , -   , 60'970.84 
19010601201,Mantenimientos Pagados Por Anticipado, -   , -   , -   
19110101201,Gastos de Organización e Instalación, -   , -   , 25'824.48 
19110201201,Mejoras a Propiedades Tomadas en Alquiler, -   , -   , 385.00 
22029901301,OTRAS OBLIGACIONES A PLAZO MAYORES A UN AÑO (MEYRA LINA BLANDON), -   , -   ,-163.13 
26010401201,Aportaciones Laborales Retenidas por Pagar (INSS Laboral), 17'927.03 , 18'241.79 ,-15'945.02 
26010501201,Remuneraciones por Pagar, 206'807.59 , 206'807.59 , 0.27 
26019901201,Cuentas por Pagar Diversas , -   , -   ,-3'442.89 
26040101201,Impuesto sobre la renta por pagar, -   , -   ,-5'488.75 
26040201101,IMPUESTOS MÍNIMO DEFINITIVO, -   , -   , -   
26040201201,IMPUESTOS MÍNIMO DEFINITIVO, 5'342.28 , 5'784.04 ,-17'249.51 
26040301201,Impuestos municipales por pagar (Basura), 750.00 , 750.00 ,-749.80 
26040301202,Impuestos municipales por pagar (Matricula), -   , -   ,-0.07 
26040301203,Impuestos municipales por pagar (S/I), 5'342.18 , 5'034.04 , 1'124.17 
26050101201,Impuesto S/Renta en la Fuente (2% Y 10%), 4'140.11 , 8'868.69 ,-19'033.77 
26050101202,Impuesto S/Renta en la Fuente (No Domiciliado 15% ), 5'109.53 , 5'109.53 ,-4'368.51 
26050301101,Impuesto S/Renta sobre Salarios, -   , -   , -   
26050301201,Impuesto S/Renta sobre Salarios, 19'765.37 , 20'013.59 ,-22'279.87 
26050901201,OTROS IMPUESTOS, -   , -   , -   
27010201201,Provisiones para Prestaciones Laborales (Aguinaldos), -   , 16'217.59 ,-125'250.50 
27010201202,Provisiones para Prestaciones Laborales (Vacaciones), 2'792.64 , 16'217.59 ,-191'568.60 
27010201203,Provisiones para Prestaciones Laborales (Indemnización), -   , 16'217.59 ,-330'568.61 
27010401101,Provisiones para Otros Gastos, 63'404.27 , 63'404.27 , -   
27010401202,Provisiones para Otros Gastos (Internet), -   , -   , -   
27010701101,Aportaciones Patronales Por Pagar, -   , -   , -   
27010701201,Aportaciones Patronales por Pagar (INSS Patronal), 55'061.58 , 56'028.36 ,-43'559.52 
27010701202,Aportaciones Patronales por Pagar (INATEC), 5'122.01 , 5'211.93 ,-6'291.13 
27010901201,Otras Provisiones (Canasta Navideña), -   , 2'136.30 ,-16'126.59 
27030101201,Reserva para Retiro, -   , -   , -   
27030201101,RESERVAS POR PRIMAS DE ANTIGÜEDAD, -   , -   , -   
31010101201,Capital Sucrito Ordinario, -   , -   ,-4'500'000.00 
32010301201,Capital Adicional, -   , -   ,-3'479'308.50 
38010101201,Utilidadades Acumuladas con Acuerdo de Distribución, -   , -   ,-4'026'425.24 
39010101201,Utilidades del ejercicio, 85'264.70 , -   ,-1'110'532.49 
41060101201,Intereses y comisiones Créditos Vigentes (Préstamos Microcréditos), -   , 493'393.08 ,-4'243'560.49 
41060101202,Interés y Comisiones Préstamos Microcréditos (Recargos cobrados por mora de clientes), -   , 4'184.45 ,-23'889.33 
41060101203,Ingresos por Comisiones  de Desembolsos  (Préstamos Microcréditos), -   , -   , -   
43020501201,OTROS INGRESOS GENERADOS POR OTROS ACTIVOS, -   , 14'222.14 ,-289'423.21 
45010101201,Ingresos por Ajustes Monetarios (Fondos Disponibles), -   , -   ,-985'935.57 
51040501201,CARGOS POR PRESTAMOS DE OTRAS INSTITUCIONES DEL PAIS, -   , -   , -   
51040801301,Cargos por Préstamos con Otras Instituciones Financieras del Pais Mayor a un año, -   , -   , -   
51040901201,CARGOS POR OTRAS OBLIGACIONES POR FINANCIAMIENTOS, -   , -   , 62'505.59 
52010101201,Constitución de Provisión por Cartera de Créditos, 762.52 , -   , 13'601.43 
53010102201,Comisiones por Giros y Transferencias, 659.24 , -   , 5'933.14 
53020401201,Amortización de Software, -   , -   , 1'403.81 
54010101201,Sueldos de Personal Permanente, 247'317.31 , -   , 1'861'122.18 
54010102301,Sueldos de Personal Contratado, -   , -   , -   
54010103301,Sobresueldos, -   , -   , -   
54010104201,Comisiones, 10'487.09 , -   , 138'125.99 
54010106201,Tiempo Extraordinario, -   , -   , -   
54010107201,Viaticos , 2'860.00 , -   , 22'716.94 
54010108201,Aguinaldos, 16'217.57 , -   , 123'984.14 
54010109201,Vacaciones, 16'217.57 , -   , 118'207.52 
54010110201,Indemnización , 16'217.57 , -   , 123'584.66 
54010111201,Jubilaciones y/o Retiros, -   , -   , -   
54010113201,Bonificaciones e Incentivos (Celebraciones), 2'136.30 , -   , 24'703.16 
