Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$, -   , -   , -   
11010101301,CAJA PRINCIPAL U$, 2'006'393.42 , 2'011'959.95 , 35'454.83 
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE), -   , -   , -   
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE), 1'924'659.39 , 1'443'324.75 , 2'824'633.99 
11040101201,Caja Chica, 23'090.93 , 23'090.93 , 7'630.01 
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV, -   , -   , -   
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$, 782'192.87 , 1'567'038.80 , 7'362'299.58 
14010201301,Cartera sobre saldos créditos vigentes (Prestamos Personales) U$, 229'018.34 , 123'601.52 , 831'883.98 
14010301301,Cartera sobre saldos créditos vigentes (Prestamos Hipotecarios) U$, -   , 125'368.28 , 1'396'386.04 
14030101301,Cartera de Créditos Reestructurado (Préstamos Microcreditos) MN con MV, 17'426.21 , 48'152.16 , 160'971.12 
14040101101,Cartera de Créditos vencidos (Préstamos Microcreditos) MN con MV, 195'474.51 , 69'181.11 , 571'428.08 
14040201301,Cartera sobre saldos créditos vencidos (Prestamos Personales) U$, -   , -   , -   
14040301301,Cartera sobre saldos créditos vencidos (Prestamos Hipotecarios) U$, -   , -   , -   
14050101101,Cartera de Créditos cobro judicial (Préstamos Microcreditos) MN con MV, -   , -   , 107'895.19 
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV, -   , -   , -   
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcréditos) U$, 518'617.83 , 496'215.69 , 90'891.04 
14060102301,Intereses y Comisiones por Cobrar Creditos Vigentes (Personales) U$, 40'354.69 , 40'114.97 , 4'930.93 
14060103301,Interes y Comisiones por Cobrar Creditos Vigentes (Hipotecarios) U$, 45'703.10 , 23'527.45 , 38'180.10 
14060301301,Intereses y Comisiones por Cobrar Creditos Reestructurado  (Microcreditos) U$, 7'819.65 , 6'632.29 , 1'187.36 
14060401301,Intereses y Comisiones por Cobrar Creditos Vencidos (Microcreditos)U$, 76.91 , 22'329.10 , -   
