Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$, -   , -   , -   
11010101301,CAJA PRINCIPAL U$, 2'030'067.73 , 2'075'250.43 , 43'316.97 
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE), -   , -   , -   
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE), 2'147'659.60 , 2'157'174.86 , 2'516'490.72 
11040101201,Caja Chica, 31'780.24 , 28'854.92 , 7'630.01 
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV, -   , -   , -   
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$, 16'294'747.31 , 8'147'373.66 , 8'147'373.66 
14010201301,Cartera sobre saldos créditos vigentes (Prestamos Personales) U$, 765'711.93 , -   , 765'711.93 
14010301301,Cartera sobre saldos créditos vigentes (Prestamos Hipotecarios) U$, 1'498'352.49 , -   , 1'498'352.49 
14030101301,Cartera de Créditos Reestructurado (Préstamos Microcreditos) MN con MV, 146'992.73 , 6'913.20 , 200'809.17 
14040101101,Cartera de Créditos vencidos (Préstamos Microcreditos) MN con MV, 10'461'172.41 , 21'207'246.34 , 678'992.31 
14040201301,Cartera sobre saldos créditos vencidos (Prestamos Personales) U$, 10'126.99 , -   , 10'126.99 
14040301301,Cartera sobre saldos créditos vencidos (Prestamos Hipotecarios) U$, 100'844.28 , -   , 100'844.28 
14050101101,Cartera de Créditos cobro judicial (Préstamos Microcreditos) MN con MV, 215'790.38 , 107'895.19 , 107'895.19 
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV, -   , -   , -   
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$, 541'493.21 , 534'154.06 , 9'388.20 
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV, -   , -   , -   
14080101301,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) U$, 176.53 , -   ,-892'829.93 
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , -   
15010901201,Otros Bienes Recibido en Recuperación de Créditos, -   , -   , -   
15010101301,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles), -   , -   , 33'495.37 
16020101101,Anticipos proveedores MNL, -   , -   , -   
16020101201,Anticipos proveedores (Aporte CONAMI), 10'508.77 , 3'502.92 , 7'005.85 
16020101202,Anticipos proveedores (EFRAIN BLANDON), -   , -   , 10'987.29 
16020101203,Anticipos proveedores (Varios), 3'440.00 , 223'222.42 , 65'923.74 
16020601101,Cuentas por Cobrar al Personal, -   , -   , -   
16020601201,Cuentas por Cobrar al Personal, 5'001.57 , 8'854.98 , 53'351.50 
16020901201,Otras partidas pendientes de cobro, 140'660.75 , -   , 140'660.80 
18030101201,MOBILIARIOS, -   , 1'815.92 , 86'648.55 
