Codigo,Denominacion,Saldo Anterior,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$,88074.85,111085.16,84052.4,115107.61
11010101301,CAJA PRINCIPAL U$,-0.15,2406944.39,2406944.23,0.01
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE),1729674.8,2386317.58,1751407.44,2364584.94
11040101201,Caja Chica,7630.06,21481.68,21481.68,7630.06
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV,12209217.4,1089572.93,1727511.49,11571278.84
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV,45136.35,559999.79,565692.25,39443.89
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV,-1039442.73,154192.26,0,-885250.47
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),21876.49,0,0.18,21876.31
15010901201,Otros Bienes Recibido en Recuperación de Créditos,-5.05,5.05,0,0
16020101101,Anticipos proveedores MNL,246416.22,7022.04,15662.7,237775.56
16020601101,Cuentas por Cobrar al Personal,209799.97,26453.87,167383.15,68870.69
18030101201,MOBILIARIOS,83383.49,21901.34,2882.5,102402.33
18030201201,EQUIPOS ,9415.49,0,668.39,8747.1
18040101201,Equipos de computación,67225.72,0,2472.66,64753.06
18050101201,Vehiculos,-1468.21,1468.21,0,0
19010301201,Impuesto Pagados por Anticipado,28134.42,5532.28,0,33666.7
26010401201,Aportaciones Laborales Retenidas por Pagar (INSS Laboral),-14952.29,17249.02,19359.75,-17063.02
26019901201,Cuentas por Pagar Diversas ,-69341.84,296061.53,237248.54,-10528.85
26040101201,Impuesto sobre la renta por pagar,-11181.62,5248.43,5532.28,-11465.47
26040201101,IMPUESTOS MÍNIMO DEFINITIVO,909.88,5248.43,5532.28,626.03
26040301201,Impuestos municipales por pagar (Basura),-749.87,750,750,-749.87
26050101201,Impuesto S/Renta en la Fuente,-19141.02,9717.15,9538.3,-18962.17
26050301101,Impuesto S/Renta sobre Salarios,-23034.28,19343.01,20321.93,-24013.2
27010201202,Provisiones para Prestaciones Laborales (Vacaciones),-194122.86,20338.5,16380.03,-190164.39
27010401101,Provisiones para Otros Gastos,1.45,0,1.45,0
27010701101,Aportaciones Patronales Por Pagar,-46517.72,57907.41,57838.43,-46448.74
27030101201,Reserva para Retiro,-41752.25,5657.37,22687.43,-58782.31
27030201101,RESERVAS POR PRIMAS DE ANTIGÜEDAD,-3716881.11,3818.96,38351.49,-3751413.64
39010101201,Utilidades del ejercicio,-1062601.11,0,53615.43,-1116216.54
41060101201,Intereses y comisiones Créditos Vigentes (Préstamos Microcréditos),-1630654.73,5355.64,553945.76,-2179244.85
43020501201,OTROS INGRESOS GENERADOS POR OTROS ACTIVOS,-94464.97,867.87,89071.08,-182668.18
45010101201,Ingresos por Ajustes Monetarios (Fondos Disponibles),0,0,114.99,-114.99
51040501201,CARGOS POR PRESTAMOS DE OTRAS INSTITUCIONES DEL PAIS,2636.95,659.24,0,3296.19
54010101201,Sueldos de Personal Permanente,573003.14,182553.84,0,755556.98
54010102301,Sueldos de Personal Contratado,97891.63,24641.46,0,122533.09
54010103301,Sobresueldos,118235.79,35952.15,0,154187.94
54010104201,Comisiones,17064.72,6353.58,0,23418.3
54010106201,Tiempo Extraordinario,3479.5,8394.76,0,11874.26
54010107201,Viaticos ,6876.94,2420,0,9296.94
54010108201,Aguinaldos,45668.72,15593.8,0,61262.52
54010109201,Vacaciones,45269.24,15593.8,0,60863.04
54010111201,Jubilaciones y/o Retiros,45269.24,15593.8,0,60863.04
54010113201,Bonificaciones e Incentivos (Celebraciones),71543.69,22588.03,0,94131.72
54010115201,Seguro Social Aporte Patronal,139602.85,54418.39,0,194021.24
54010116201,Aporte al Instituto Nacional Tecnológico (INATEC),14747.7,10982.18,0,25729.88
54010199201,Otros Gastos de Personal ,6408.89,2136.3,0,8545.19
54029901201,Honorarios profesionales,10108.32,2527.08,0,12635.4
54030401301,"Combustible, Lubricantes y Otros",39516.85,9325,0,48841.85
54030901201,Depreciacion de Vehiculos,10499.09,3845.55,0,14344.64
54031001201,"Telefonos, Telefax, fax",17478.73,5596.9,0,23075.63
54040301203,Mantenimiento y reparación de equipo de oficina y computo,13786.02,3000,0,16786.02
54040401202,Energía eléctrica,3063.23,1639.01,0,4702.24
54040501201,Alquileres de Inmuebles,102190.59,34063.53,0,136254.12
54040801301,Depreciación  de Equipos y Mobiliario,6838.56,2013.08,0,8851.64
54040901201,Depreciación de Equipos de cómputo,6977.38,2325.79,0,9303.17
54050101201,"Impuestos, Multas y Tasas Municipales",22025.24,6324.28,0,28349.52
54050701201,"Papeleria, utiles y otros materiales de Limpieza",44578.72,15005.05,0,59583.77
54050701301,"Papeleria, utiles y otros materiales de Limpieza",8901.06,2042.71,0,10943.77
54050801201,Gastos Legales,38371.56,10861.67,0,49233.23
54059901203,Otros Gastos Generales,57765.76,96421.16,12577.92,141609
54059901301,Otros Gastos Generales,4689.28,1674.35,0,6363.63
55010101201,Gastos por Ajustes Monetarios (Fondos Disponibles),4446.76,1324.34,0,5771.1
63010201201,Resultado Neto del Ejercicio,76780.53,53615.43,0,130395.96
