Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$,0.00,0.00,0.00
11010101301,CAJA PRINCIPAL U$,2'427'951.20,2'453'696.59,77'323.80
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE),0.00,0.00,0.00
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE),2'376'372.81,2'123'932.19,2'735'725.21
11040101201,Caja Chica,25'541.90,25'541.90,7'630.06
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV,0.00,0.00,0.00
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$,1'620'459.00,1'785'775.87,11'327'440.95
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV,0.00,0.00,0.00
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$,557'196.20,576'049.84,24'237.32
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV,0.00,0.00,0.00
14080101301,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) U$,0.00,4'117.32,-860'735.82
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),0.00,0.00,0.00
15010901201,Otros Bienes Recibido en Recuperación de Créditos,0.00,0.00,0.00
15010101301,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),11'619.06,0.00,33'495.37
16020101101,Anticipos proveedores MNL,0.00,0.00,0.00
16020101201,Anticipos proveedores (Aporte CONAMI),0.00,3'502.93,0.00
16020101202,Anticipos proveedores (EFRAIN BLANDON),0.00,0.00,10'987.29
16020101203,Anticipos proveedores (Varios),0.00,0.00,219'782.42
16020601101,Cuentas por Cobrar al Personal,0.00,0.00,0.00
16020601201,Cuentas por Cobrar al Personal,7'485.86,11'999.86,62'144.55
18030101201,MOBILIARIOS,0.00,2'192.00,82'589.37
18030201201,EQUIPOS ,0.00,2'030.82,41'207.41
18040101201,Equipos de computación,0.00,1'962.61,43'619.90
18050101201,Vehiculos,0.00,0.00,0.00
19010301201,Impuesto Pagados por Anticipado,5'459.75,0.00,49'844.52
19010601201,Mantenimientos Pagados Por Anticipado,0.00,0.00,0.00
19110101201,Gastos de Organización e Instalación,0.00,0.00,25'824.48
19110201201,Mejoras a Propiedades Tomadas en Alquiler,0.00,0.00,385.00
22029901301,OTRAS OBLIGACIONES A PLAZO MAYORES A UN AÑO (MEYRA LINA BLANDON),24'505.66,163.13,-163.13
26010401201,Aportaciones Laborales Retenidas por Pagar (INSS Laboral),17'477.63,19'767.92,-17'471.16
26010501201,Remuneraciones por Pagar,228'387.81,228'387.81,0.29
26019901201,Cuentas por Pagar Diversas ,26'578.38,21'154.38,-3'442.89
26040101201,Impuesto sobre la renta por pagar,0.00,0.00,-5'488.75
26040201101,IMPUESTOS MÍNIMO DEFINITIVO,0.00,0.00,0.00
26040201201,IMPUESTOS MÍNIMO DEFINITIVO,5'185.79,5'459.75,-16'925.22
26040301201,Impuestos municipales por pagar (Basura),750,750,-749.80
26040301202,Impuestos municipales por pagar (Matricula),0.00,0.00,-0.07
26040301203,Impuestos municipales por pagar (S/I),5'185.79,5'459.75,698.56
26050101201,Impuesto S/Renta en la Fuente (2% Y 10%),5'145.59,5'239.44,-15'500.41
26050101202,Impuesto S/Renta en la Fuente (No Domiciliado 15% ),5'109.53,5'109.52,-4'368.50
26050301101,Impuesto S/Renta sobre Salarios,0.00,0.00,0.00
