Código,Denominación,Saldo Anterior,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$,"88,074.85",1,"88,074.85","88,074.85"
11010101301,CAJA PRINCIPAL U$,-0.15,1,-0.15,-0.15
11020101301,Dep�sitos en Cuenta Corriente con intereses ME (LA FISE),"1,729,674.80",1,"1,729,674.80","1,729,674.80"
11040101201,Caja Chica,"7,630.06",1,"7,630.06","7,630.06"
14010101101,Cartera de Cr�ditos vigentes (Pr�stamos Microcreditos) MN con MV,"12,209,217.40",1,"12,209,217.40","12,209,217.40"
14060101101,Intereses y Comisiones por Cobrar de Cr�ditos Vigentes (Microcreditos) MN con MV,"45,136.35",1,"45,136.35","45,136.35"
14080101101,Provisi�n para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV,"-1,039,442.73",1,"-1,039,442.73","-1,039,442.73"
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),"21,876.49",1,"21,876.49","21,876.49"
15010901201,Otros Bienes Recibido en Recuperaci�n de Cr�ditos,-5.05,1,-5.05,-5.05
16020101101,Anticipos proveedores MNL,"246,416.22",1,"246,416.22","246,416.22"
16020601101,Cuentas por Cobrar al Personal,"209,799.97",1,"209,799.97","209,799.97"
18030101201,MOBILIARIOS,"83,383.49",1,"83,383.49","83,383.49"
18030201201,EQUIPOS ,"9,415.49",1,"9,415.49","9,415.49"
18040101201,Equipos de computaci�n,"67,225.72",1,"67,225.72","67,225.72"
18050101201,Vehiculos,"-1,468.21",1,"-1,468.21","-1,468.21"
19010301201,Impuesto Pagados por Anticipado,"28,134.42",1,"28,134.42","28,134.42"
19010601201,Mantenimientos Pagados Por Anticipado,385,1,385,385
19110101201,Gastos de Organizaci�n e Instalaci�n,"25,824.48",1,"25,824.48","25,824.48"
26010401201,Aportaciones Laborales Retenidas por Pagar (INSS Laboral),"-14,952.29",1,"-14,952.29","-14,952.29"
26019901201,Cuentas por Pagar Diversas ,"-69,341.84",1,"-69,341.84","-69,341.84"
26040101201,Impuesto sobre la renta por pagar,"-11,181.62",1,"-11,181.62","-11,181.62"
26040201101,IMPUESTOS M�NIMO DEFINITIVO,909.88,1,909.88,909.88
26040301201,Impuestos municipales por pagar (Basura),-749.87,1,-749.87,-749.87
26050101201,Impuesto S/Renta en la Fuente,"-19,141.02",1,"-19,141.02","-19,141.02"
26050301101,Impuesto S/Renta sobre Salarios,"-23,034.28",1,"-23,034.28","-23,034.28"
26050901201,OTROS IMPUESTOS,"-5,488.75",1,"-5,488.75","-5,488.75"
27010201202,Provisiones para Prestaciones Laborales (Vacaciones),"-194,122.86",1,"-194,122.86","-194,122.86"
27010401101,Provisiones para Otros Gastos,1.45,1,1.45,1.45
27010701101,Aportaciones Patronales Por Pagar,"-46,517.72",1,"-46,517.72","-46,517.72"
27030101201,Reserva para Retiro,"-41,752.25",1,"-41,752.25","-41,752.25"
27030201101,RESERVAS POR PRIMAS DE ANTIG�EDAD,"-3,716,881.11",1,"-3,716,881.11","-3,716,881.11"
31010101201,Capital Sucrito Ordinario,"-4,500,000.00",1,"-4,500,000.00","-4,500,000.00"
38010101201,Utilidadades Acumuladas con Acuerdo de Distribuci�n,"-4,026,425.24",1,"-4,026,425.24","-4,026,425.24"
39010101201,Utilidades del ejercicio,"-1,062,601.11",1,"-1,062,601.11","-1,062,601.11"
41060101201,Intereses y comisiones Cr�ditos Vigentes (Pr�stamos Microcr�ditos),"-1,630,654.73",1,"-1,630,654.73","-1,630,654.73"
43020501201,OTROS INGRESOS GENERADOS POR OTROS ACTIVOS,"-94,464.97",1,"-94,464.97","-94,464.97"
45010101201,Ingresos por Ajustes Monetarios (Fondos Disponibles), -   ,1, -   , -   
51040501201,CARGOS POR PRESTAMOS DE OTRAS INSTITUCIONES DEL PAIS,"2,636.95",1,"2,636.95","2,636.95"
