Codigo,Denominacion,Cargos,Abonos,Saldo Actual
11010101201,CAJA PRINCIPAL C$,                    -  ,115107.61,                     -  
11010101301,CAJA PRINCIPAL U$,2558135.23,2455066.03,103069.21
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE),                    -  ,2364584.94,                     -  
11020102301,Depósito en Cuenta Corriente Sin Interes ME (LA FISE),4834654.99,2351370.40,2483284.59
11040101201,Caja Chica,25452.81,25452.81,7630.06
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV,                    -  ,11571278.84,                     -  
14010101301,Cartera sobre saldos créditos vigentes (Prestamos Microcreditos) U$,13314595.52,1821837.67,11492757.85
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV,                    -  ,39443.89,                     -  
14060101301,Intereses y Comisiones por Cobrar Créditos Vigentes ( Microcrédito) U$,560477.53,517386.58,43090.95
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV,885250.47,                           -  ,                     -  
14080101301,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) U$,303831.84,1160450.33,-856618.49
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),                    -  ,21876.31,                     -  
15010901201,Otros Bienes Recibido en Recuperación de Créditos,                    -  ,                           -  ,                     -  
15010101301,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),21876.31,                           -  ,21876.31
16020101101,Anticipos proveedores MNL,                    -  ,237775.56,                     -  
16020101201,Anticipos proveedores (Aporte CONAMI),7005.85,3502.93,3502.93
16020101202,Anticipos proveedores (EFRAIN BLANDON),10987.29,                           -  ,10987.29
16020101203,Anticipos proveedores (Varios),219782.42,                           -  ,219782.42
16020601101,Cuentas por Cobrar al Personal,                    -  ,68870.69,                     -  
16020601201,Cuentas por Cobrar al Personal,85132.34,18473.81,66658.54
18030101201,MOBILIARIOS,                    -  ,17620.97,84781.36
