Código,Denominación,Saldo Anterior
11010101201,CAJA PRINCIPAL C$,88074.85
11010101301,CAJA PRINCIPAL U$,-0.15
11020101301,Depósitos en Cuenta Corriente con intereses ME (LA FISE),1729674.80
11040101201,Caja Chica,7630.06
14010101101,Cartera de Créditos vigentes (Préstamos Microcreditos) MN con MV,12209217.40
14060101101,Intereses y Comisiones por Cobrar de Créditos Vigentes (Microcreditos) MN con MV,45136.35
14080101101,Provisión para Incobrabilidad Cartera Vigente (Microcreditos) MN con MV,-1039442.73
15010101101,Bienes recibidos en Pago y adjudicados (Bienes Muebles e Inmuebles),21876.49
15010901201,Otros Bienes Recibido en Recuperación de Créditos,-5.05
16020101101,Anticipos proveedores MNL,246416.22
16020601101,Cuentas por Cobrar al Personal,209799.97
18030101201,MOBILIARIOS,83383.49
18030201201,EQUIPOS,9415.49
18040101201,Equipos de computación,67225.72
18050101201,Vehiculos,-1468.21
19010301201,Impuesto Pagados por Anticipado,28134.42
19010601201,Mantenimientos Pagados Por Anticipado,385
19110101201,Gastos de Organización e Instalación,25824.48
26010401201,Aportaciones Laborales Retenidas por Pagar (INSS Laboral),-14952.29
26019901201,Cuentas por Pagar Diversas,-69341.84
26040101201,Impuesto sobre la renta por pagar,-11181.62
26040201101,IMPUESTOS MÍNIMO DEFINITIVO,909.88
26040301201,Impuestos municipales por pagar (Basura),-749.87
26050101201,Impuesto S/Renta en la Fuente,-19141.02
26050301101,Impuesto S/Renta sobre Salarios,-23034.28
26050901201,OTROS IMPUESTOS,-5488.75
27010201202,Provisiones para Prestaciones Laborales (Vacaciones),-194122.86
27010401101,Provisiones para Otros Gastos,1.45
27010701101,Aportaciones Patronales Por Pagar,-46517.72
27030101201,Reserva para Retiro,-41752.25
27030201101,RESERVAS POR PRIMAS DE ANTIGÜEDAD,-3716881.11
31010101201,Capital Suscrito Ordinario,-4500000.00
38010101201,Utilidades Acumuladas con Acuerdo de Distribución,-4026425.24
39010101201,Utilidades del ejercicio,-1062601.11
