Cuentas;Description;Estructura;NIVEL ;Naturaleza
11010000000;CAJA;Activo;Nivel 3;Deudora
11010100000;CAJA PRINCIPAL;Activo;Nivel 4;Deudora
11010101000;CAJA PRINCIPAL;Activo;Nivel 5;Deudora
11010101100;CAJA PRINCIPAL;Activo;Nivel 6;Deudora
11010101200;CAJA PRINCIPAL;Activo;Nivel 6;Deudora
11010101201;CAJA PRINCIPAL C$;Activo;Nivel 7;Deudora
11010101300;CAJA PRINCIPAL;Activo;Nivel 6;Deudora
11010101301;CAJA PRINCIPAL U$;Activo;Nivel 7;Deudora
11010200000;CAJA OFICINAS;Activo;Nivel 4;Deudora
11010201000;CAJA OFICINAS;Activo;Nivel 5;Deudora
11010201100;CAJA OFICINAS;Activo;Nivel 6;Deudora
11010201200;CAJA OFICINAS;Activo;Nivel 6;Deudora
11010201201;Cajas Oficinas;Activo;Nivel 7;Deudora
11010201300;CAJA OFICINAS;Activo;Nivel 6;Deudora
11010300000;REMESAS EN TRANSITO;Activo;Nivel 4;Deudora
11010301000;REMESAS EN TRANSITO;Activo;Nivel 5;Deudora
11010301100;REMESAS EN TRANSITO;Activo;Nivel 6;Deudora
11010301200;REMESAS EN TRANSITO;Activo;Nivel 6;Deudora
11010301201;Remesas en tránsito MNL;Activo;Nivel 7;Deudora
11010301300;REMESAS EN TRANSITO;Activo;Nivel 6;Deudora
11020000000;BANCOS;Activo;Nivel 3;Deudora
11020100000;DEPOSITOS EN INSTITUCIONES FINANCIERAS DEL PAIS;Activo;Nivel 4;Deudora
11020101000;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 5;Deudora
11020101100;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020101200;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020101300;Depósitos en Cuenta Corriente con intereses;Activo;Nivel 6;Deudora
11020101301;Depósitos en Cuenta Corriente con intereses ME (LA FISE);Activo;Nivel 7;Deudora
11020102000;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 5;Deudora
11020102100;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020102200;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020102201;Depósito en Cuenta Corriente Sin Interes MNL (LA FISE);Activo;Nivel 7;Deudora
11020102202;Depósito en Cuenta Corriente Sin Interes MNL (BANPRO);Activo;Nivel 7;Deudora
11020102203;Depósito en Cuenta Corriente Sin Interes MNL (BAC);Activo;Nivel 7;Deudora
11020102300;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020102301;Depósito en Cuenta Corriente Sin Interes ME (LA FISE);Activo;Nivel 7;Deudora
11020102302;Depósito en Cuenta Corriente Sin Interes ME (BANPRO);Activo;Nivel 7;Deudora
11020102303;Depósito en Cuenta Corriente Sin Interes ME (BAC);Activo;Nivel 7;Deudora
11020103000;Otros Depósitos a la Vista con intereses;Activo;Nivel 5;Deudora
11020103100;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020103200;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020103300;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020104000;Otros Depósitos a la Vista sin intereses;Activo;Nivel 5;Deudora
11020104100;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020104200;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020104300;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020105000;Depósitos a Plazo;Activo;Nivel 5;Deudora
11020105100;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020105200;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020105300;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020109000;Depósitos en Tránsito;Activo;Nivel 5;Deudora
11020109100;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020109200;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020109201;Depósitos en Tránsito;Activo;Nivel 7;Deudora
11020109300;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020200000;DEPOSITOS EN OFICINA MATRIZ Y SUCURSALES EN EL EXTERIOR;Activo;Nivel 4;Deudora
11020201000;Depósitos en Cuentas Corrientes con intereses;Activo;Nivel 5;Deudora
11020201100;Depósitos en Cuentas Corrientes con intereses;Activo;Nivel 6;Deudora
11020201200;Depósitos en Cuentas Corrientes con intereses;Activo;Nivel 6;Deudora
11020201300;Depósitos en Cuentas Corrientes con intereses;Activo;Nivel 6;Deudora
11020202000;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 5;Deudora
11020202100;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020202200;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020202300;Depósitos en Cuenta Corriente sin intereses;Activo;Nivel 6;Deudora
11020203000;Otros Depósitos a la Vista con intereses;Activo;Nivel 5;Deudora
11020203100;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020203200;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020203300;Otros Depósitos a la Vista con intereses;Activo;Nivel 6;Deudora
11020204000;Otros Depósitos a la Vista sin intereses;Activo;Nivel 5;Deudora
11020204100;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020204200;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020204300;Otros Depósitos a la Vista sin intereses;Activo;Nivel 6;Deudora
11020205000;Depósitos a Plazo;Activo;Nivel 5;Deudora
11020205100;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020205200;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020205300;Depósitos a Plazo;Activo;Nivel 6;Deudora
11020209000;Depósitos en Tránsito;Activo;Nivel 5;Deudora
11020209100;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020209200;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020209300;Depósitos en Tránsito;Activo;Nivel 6;Deudora
11020300000;DEPOSITOS EN OTRAS INSTITUCIONES FINANCIERAS DEL EXTERIOR;Activo;Nivel 4;Deudora
